1,E12000001,2009/1/1,2.213,22.833,9.614,4.078,7.882,273.262
4,E12000001,2009/1/4,2.563,31.671,16.309,5.792,4.946,274.597
7,E12000001,2009/1/7,2.136,25.138,9.782,4.191,10.023,275.284
8,E12000001,2009/1/8,2.019,24.68,12.576,5.204,7.515,276.083
10,E12000001,2009/1/10,1.747,22.819,22.481,11.908,17.42,275.339
11,E12000001,2009/1/11,1.786,48.552,14.767,3.576,1.769,280.368
12,E12000001,2009/1/12,2.252,46.468,6.445,2.325,3.39,280.727
13,E12000001,2009/1/13,1.825,27.154,6.082,2.925,6.019,276.183
14,E12000001,2009/1/14,2.174,19.415,9.282,4.146,10.567,274.144
16,E12000001,2009/1/16,1.67,26.231,6.513,3.553,8.117,279.416
19,E12000001,2009/1/19,2.058,41.415,5.302,2.037,4.437,274.768
20,E12000001,2009/1/20,1.437,43.769,5.832,2.289,3.172,275.07
21,E12000001,2009/1/21,2.291,32.997,8.622,3.854,7.935,275.615
22,E12000001,2009/1/22,1.825,40.215,7,2.331,5.982,277.561
23,E12000001,2009/1/23,1.903,34.803,7.471,3.187,6.133,275.56
25,E12000001,2009/1/25,1.864,38.036,8.086,3.691,8.544,276.23
26,E12000001,2009/1/26,1.514,26.265,14.659,9.703,15.232,275.742
29,E12000001,2009/1/29,1.592,10.16,20.876,10.869,25.33,276.937
31,E12000001,2009/1/31,2.446,26.167,26.52,10.515,14.811,276.902
32,E12000001,2009/2/1,1.864,53.741,13.22,4.255,3.062,273.707
34,E12000001,2009/2/3,1.398,22.292,17.166,9.475,19.445,272.914
35,E12000001,2009/2/4,1.708,25.032,20.494,11.142,18.997,271.083
36,E12000001,2009/2/5,1.864,29.785,17.752,10.19,15.207,271.625
37,E12000001,2009/2/6,1.708,42.427,5.295,3.029,6.591,270.337
38,E12000001,2009/2/7,1.631,45.268,5.777,2.61,4.901,273.053
39,E12000001,2009/2/8,1.359,52.211,8.245,3.096,7.104,269.474
41,E12000001,2009/2/10,2.097,50.114,7.225,3.152,6.351,272.774
42,E12000001,2009/2/11,1.359,50.098,6.537,2.68,5.698,272.877
43,E12000001,2009/2/12,1.786,46.812,6.815,2.089,8.398,273.536
45,E12000001,2009/2/14,1.514,40.759,13.622,4.951,10.062,274.37
46,E12000001,2009/2/15,1.825,41.693,8.916,2.704,5.08,277.565
47,E12000001,2009/2/16,1.941,56.314,7.996,2.1,4.279,278.411
48,E12000001,2009/2/17,1.437,43.256,8.323,2.682,8.976,280.899
49,E12000001,2009/2/18,1.281,37.048,7.912,4.026,8.179,279.938
50,E12000001,2009/2/19,1.708,41.684,10.92,5.275,6.898,278.568
51,E12000001,2009/2/20,1.825,42.938,9.398,2.53,7.226,276.932
52,E12000001,2009/2/21,1.592,53.715,7.558,1.841,3.941,279.618
54,E12000001,2009/2/23,1.941,48.822,5.581,2.022,6.728,280.864
56,E12000001,2009/2/25,1.631,55.179,7.926,2.16,3.467,279.499
